date,price_month,kospi_month
2018-01,270000,2520.937727
2018-02,292555.5556,2439.104444
2018-03,284809.5238,2451.57
2018-04,276309.5238,2458.224762
2018-05,263333.3333,2460.236667
2018-06,245552.6316,2394.507895
2018-07,230840.9091,2284.253636
2018-08,216272.7273,2283.796818
2018-09,200764.7059,2307.325882
2018-10,207214.2857,2153.476667
2018-11,195363.6364,2083.333182
2018-12,187131.5789,2070.128947
2019-01,192386.3636,2101.984091
2019-02,178382.3529,2210.198824
2019-03,176400,2161.9145
2019-04,175136.3636,2212.120455
2019-05,152809.5238,2086.898095
2019-06,144789.4737,2105.303158
2019-07,133826.087,2079.48
2019-08,113261.9048,1944.237619
2019-09,114368.4211,2045.205263
2019-10,114023.8095,2065.747619
2019-11,127166.6667,2128.794762
2019-12,128825,2147.0135
2020-01,119200,2203.4425
2020-02,108715,2167.1235
2020-03,107790.9091,1786.746364
2020-04,112525,1849.589
2020-05,112289.4737,1965.174211
2020-06,112772.7273,2134.696818
2020-07,111521.7391,2195.948696
2020-08,119175,2349.873
2020-09,139642.8571,2371.51619
2020-10,150000,2357.821053
2020-11,154571.4286,2504.180952
2020-12,153571.4286,2755.770952
2021-01,171325,3089.267
2021-02,175055.5556,3092.411667
2021-03,176090.9091,3032.469091
2021-04,169363.6364,3165.083182
2021-05,157684.2105,3169.200526
2021-06,160840.9091,3259.14
2021-07,160272.7273,3254.573182
2021-08,174428.5714,3182.500952
2021-09,172921.0526,3141.699474
2021-10,161894.7368,2989.873158
2021-11,160772.7273,2964.301818
2021-12,151318.1818,2988.494091
2022-01,142300,2865.552
2022-02,131888.8889,2724.015
2022-03,137333.3333,2698.71619
2022-04,136738.0952,2703.242857
2022-05,121476.1905,2628.338571
2022-06,106683.3333,2424.412
2022-07,107404.7619,2362.794762
2022-08,103490.9091,2479.571364
